importance,name
10,item_category_1_shop_review_num_level_max
10,item_id_user_age_level_median
10,item_category_1_item_price_level_mean
9,item_price_level_shop_id_cnt
9,item_city_id_shop_star_level_max
9,shop_star_level_user_star_level_std
9,user_age_level_shop_review_num_level_min
9,item_pv_level_instance_id_cnt
9,item_category_1_shop_score_description_mean
9,item_category_1_shop_star_level_std
9,item_id_user_star_level_min
9,shop_star_level_item_price_level_max
9,item_city_id_item_property_cnt
9,item_price_level_shop_review_positive_rate_std
9,item_sales_level_shop_score_service_std
9,item_category_1_item_sales_level_mean
9,user_occupation_id_instance_id_cnt
9,item_price_level_shop_star_level_std
9,item_category_1_item_sales_level_max
9,shop_review_num_level_item_pv_level_min
9,shop_review_num_level_item_price_level_max
9,user_age_level_shop_score_description_std
9,shop_id_item_brand_id_cnt
9,user_star_level_context_page_id_std
9,item_collected_level_instance_id_cnt
9,user_age_level_shop_score_service_std
9,item_category_1_item_pv_level_min
8,item_category_1_shop_star_level_max
8,item_category_1_shop_score_delivery_median
8,item_brand_id_shop_star_level_median
8,item_category_1_shop_score_service_mean
8,shop_review_num_level_item_sales_level_mean
8,item_category_1_shop_score_delivery_mean
8,item_category_1_shop_star_level_mean
8,item_price_level_shop_score_service_median
8,item_pv_level_user_star_level_std
8,item_city_id_shop_star_level_min
8,user_star_level_shop_star_level_std
7,item_category_1_item_collected_level_max
7,shop_review_num_level_item_pv_level_max
7,user_occupation_id_item_pv_level_std
7,shop_star_level_item_collected_level_max
7,shop_id_user_age_level_max
7,user_occupation_id_shop_score_description_median
7,item_city_id_shop_review_num_level_max
7,item_price_level_shop_score_service_mean
7,shop_review_num_level_item_price_level_min
7,item_price_level_shop_score_description_min
7,item_collected_level_shop_score_delivery_std
7,timezone_cnvt_1
7,shop_star_level_item_pv_level_mean
7,item_sales_level_shop_score_description_min
7,item_id_shop_star_level_skew
7,user_star_level_shop_id_cnt
7,user_star_level_item_price_level_min
7,item_pv_level_shop_id_cnt
7,item_brand_id_context_page_id_max
7,item_id_shop_review_num_level_mean
7,user_age_level_shop_review_num_level_max
7,shop_star_level_context_page_id_mean
7,item_property_1_max
6,item_sales_level_user_star_level_mean
6,item_price_level_shop_star_level_skew
6,user_timezone_freq_midnight
6,item_price_level_shop_score_service_skew
6,user_age_level_shop_score_delivery_skew
6,item_category_1_item_price_level_std
6,user_timezone_freq_norm_midnight
6,item_pv_level_shop_score_delivery_max
6,user_occupation_id_shop_score_service_std
6,item_price_level_shop_review_positive_rate_mean
6,user_age_level_shop_star_level_std
6,user_occupation_id_item_id_cnt
6,user_star_level_shop_review_num_level_max
6,item_category_1_item_pv_level_median
6,user_age_level_shop_score_service_mean
6,item_id_shop_star_level_mean
6,item_price_level_user_age_level_mean
6,user_age_level_shop_review_positive_rate_mean
6,user_star_level_item_pv_level_mean
6,item_price_level_user_id_cnt
6,item_category_1_shop_score_service_skew
6,item_collected_level
6,item_city_id_item_id_cnt
6,user_occupation_id_item_price_level_max
5,item_collected_level_shop_score_description_mean
5,shop_star_level_item_pv_level_max
5,shop_review_num_level_item_sales_level_max
5,user_gender_id_item_price_level_std
5,item_pv_level_shop_review_num_level_min
5,item_id_shop_star_level_max
5,item_pv_level_shop_score_service_std
5,item_sales_level_shop_score_delivery_mean
5,shop_review_num_level_item_pv_level_mean
5,item_price_level_context_page_id_skew
5,item_price_level_shop_review_num_level_mean
5,item_price_level_shop_review_num_level_min
5,item_price_level_shop_review_positive_rate_min
5,item_category_1_shop_score_service_std
5,item_collected_level_shop_review_num_level_max
5,item_price_level_user_star_level_std
5,item_pv_level_shop_review_positive_rate_median
5,item_sales_level_context_page_id_std
5,item_collected_level_item_id_cnt
5,item_collected_level_shop_score_delivery_min
5,item_price_level_shop_score_delivery_median
5,shop_star_level_item_price_level_min
5,item_brand_id_user_star_level_median
5,item_category_1_shop_id_cnt
5,item_brand_id_user_age_level_min
5,item_category_1_shop_score_description_median
5,item_brand_id_user_age_level_max
5,item_category_1_shop_review_positive_rate_median
5,item_collected_level_shop_star_level_std
4,user_star_level_shop_star_level_min
4,item_category_1_shop_score_delivery_std
4,item_price_level_shop_score_delivery_skew
4,shop_id_item_city_id_cnt
4,shop_id_user_age_level_median
4,item_price_level_shop_score_description_std
4,item_sales_level_shop_score_delivery_median
4,item_id_user_age_level_min
4,item_category_1_shop_review_positive_rate_mean
4,user_age_level_shop_star_level_mean
4,shop_star_level_item_collected_level_median
4,shop_star_level_item_sales_level_mean
4,user_gender_id_shop_review_positive_rate_skew
4,user_age_level_shop_review_positive_rate_min
4,item_price_level_context_page_id_mean
4,item_price_level_item_property_cnt
4,user_occupation_id_item_price_level_mean
4,item_category_1_user_star_level_skew
4,item_category_1_item_sales_level_median
4,item_category_1_user_id_cnt
4,shop_star_level_item_category_1_cnt
4,item_price_level_shop_score_service_std
4,item_price_level_shop_review_positive_rate_median
3,item_price_level_instance_id_cnt
3,user_gender_id_item_sales_level_skew
3,shop_id_user_star_level_min
3,user_star_level_shop_star_level_skew
3,item_pv_level
3,item_price_level_shop_score_description_skew
3,timezone_cnvt_all
3,item_price_level_shop_review_positive_rate_skew
3,item_category_1_item_pv_level_mean
3,user_age_level_item_brand_id_cnt
3,item_category_1_shop_score_description_std
3,item_city_id_user_star_level_max
3,item_pv_level_shop_score_description_median
3,user_age_level_shop_star_level_min
3,shop_star_level_item_sales_level_max
3,shop_star_level_item_sales_level_median
3,user_gender_id_item_sales_level_mean
3,shop_star_level_item_property_cnt
3,item_collected_level_shop_review_num_level_mean
3,item_city_id_shop_review_num_level_median
3,shop_review_num_level_item_collected_level_max
3,shop_review_num_level_item_sales_level_median
3,item_pv_level_context_page_id_std
3,item_collected_level_item_category_1_cnt
3,item_category_1_item_property_cnt
3,user_gender_id_item_city_id_cnt
3,item_category_1_shop_review_positive_rate_min
2,item_collected_level_shop_star_level_max
2,user_occupation_id_item_collected_level_mean
2,user_age_level_context_page_id_skew
2,item_sales_level_shop_star_level_max
2,item_category_1_item_price_level_min
2,item_brand_id_user_age_level_median
2,user_occupation_id_item_sales_level_skew
2,item_price_level_shop_star_level_median
2,shop_star_level_item_collected_level_mean
2,shop_id_user_age_level_min
2,user_occupation_id_item_sales_level_std
2,item_sales_level_shop_review_num_level_mean
2,user_star_level_item_sales_level_median
2,item_price_level_shop_star_level_mean
2,user_age_level_item_pv_level_median
2,item_collected_level_shop_review_positive_rate_median
2,item_pv_level_shop_star_level_min
2,user_star_level_shop_review_num_level_skew
2,user_age_level_shop_score_delivery_median
2,item_pv_level_context_page_id_skew
2,item_city_id_shop_score_service_max
2,item_id_shop_review_num_level_skew
2,shop_review_num_level_item_pv_level_median
2,user_gender_id_item_pv_level_mean
2,item_category_1_user_age_level_median
2,item_id_shop_review_num_level_min
2,item_id_shop_review_num_level_max
2,user_occupation_id_shop_review_positive_rate_mean
2,user_gender_id_instance_id_cnt
2,item_collected_level_user_star_level_median
2,item_collected_level_context_page_id_skew
1,user_occupation_id_shop_score_service_skew
1,item_sales_level_shop_star_level_min
1,user_occupation_id_shop_review_num_level_mean
1,item_pv_level_shop_star_level_max
1,item_pv_level_shop_review_num_level_max
1,item_pv_level_shop_score_description_mean
1,item_collected_level_shop_review_positive_rate_mean
1,item_pv_level_item_category_1_cnt
1,user_occupation_id_shop_review_num_level_std
1,item_pv_level_shop_review_positive_rate_std
1,item_collected_level_shop_star_level_mean
1,item_sales_level_shop_review_positive_rate_median
1,item_pv_level_item_property_cnt
1,item_pv_level_shop_review_positive_rate_mean
1,user_occupation_id_shop_score_delivery_std
1,item_pv_level_item_id_cnt
1,user_occupation_id_shop_star_level_min
1,user_occupation_id_item_pv_level_mean
1,user_gender_id_shop_review_num_level_std
1,item_collected_level_shop_score_service_std
1,item_sales_level_shop_review_num_level_max
1,user_occupation_id_item_collected_level_skew
1,user_occupation_id_shop_star_level_mean
1,shop_star_level
1,item_pv_level_shop_star_level_median
1,item_brand_id_user_star_level_min
1,user_star_level_item_pv_level_median
1,shop_review_num_level_item_collected_level_median
1,item_city_id_shop_score_description_max
1,user_age_level_item_sales_level_median
1,shop_star_level_item_sales_level_min
1,item_city_id_context_page_id_max
1,user_age_level_shop_id_cnt
1,user_age_level_item_city_id_cnt
1,item_price_level_context_page_id_std
1,item_city_id_user_age_level_median
1,shop_review_num_level_item_collected_level_mean
1,user_gender_id_shop_id_cnt
1,item_id_shop_star_level_min
1,item_id_shop_star_level_median
1,item_price_level_shop_review_num_level_max
1,item_price_level_shop_score_delivery_std
1,user_gender_id_item_brand_id_cnt
1,user_age_level_shop_score_description_mean
1,user_age_level_shop_score_description_median
1,item_sales_level_user_star_level_max
1,item_price_level_shop_score_description_median
1,user_gender_id_item_id_cnt
1,shop_star_level_item_pv_level_median
1,user_occupation_id_item_brand_id_cnt
1,user_age_level_shop_score_delivery_mean
1,item_price_level_shop_score_delivery_mean
0,user_gender_id_shop_score_service_std
0,item_category_1_shop_star_level_median
0,user_occupation_id_context_page_id_median
0,user_gender_id_shop_score_service_min
0,item_category_1_shop_score_service_max
0,item_category_1_context_page_id_max
0,user_gender_id_shop_score_service_mean
0,user_gender_id_shop_score_delivery_max
0,user_gender_id_shop_score_service_max
0,item_category_1_shop_review_num_level_min
0,user_star_level_item_collected_level_min
0,item_price_level_item_id_cnt
0,user_star_level_item_collected_level_max
0,item_category_1_shop_review_num_level_median
0,user_gender_id_shop_score_service_median
0,user_star_level_item_collected_level_median
0,item_category_1_shop_review_positive_rate_max
0,user_gender_id_shop_score_service_skew
0,item_category_1_shop_star_level_min
0,user_id_item_brand_id_1
0,user_star_level_shop_score_delivery_median
0,user_star_level_context_page_id_max
0,user_occupation_id_context_page_id_mean
0,item_pv_level_shop_star_level_std
0,user_occupation_id_context_page_id_skew
0,user_gender_id_user_id_cnt
0,user_star_level_item_property_cnt
0,user_star_level_item_category_1_cnt
0,item_pv_level_shop_score_service_max
0,user_occupation_id_context_page_id_max
0,user_star_level_item_price_level_median
0,user_occupation_id
0,user_star_level_context_page_id_median
0,user_gender_id_item_price_level_median
0,item_category_1_shop_score_delivery_max
0,user_gender_id_item_price_level_min
0,user_star_level_context_page_id_min
0,user_occupation_id_shop_score_delivery_median
0,user_star_level_shop_score_description_max
0,user_star_level_item_sales_level_max
0,user_occupation_id_context_page_id_std
0,item_pv_level_shop_score_description_std
0,item_pv_level_shop_score_description_max
0,user_star_level_item_sales_level_min
0,item_category_1_shop_score_description_max
0,user_occupation_id_context_page_id_min
0,user_gender_id_shop_star_level_skew
0,user_gender_id_shop_star_level_max
0,user_gender_id_shop_star_level_median
0,item_category_1_context_page_id_median
0,user_occupation_id_shop_score_description_skew
0,user_star_level_shop_score_delivery_max
0,user_star_level_shop_score_delivery_mean
0,user_occupation_id_shop_score_delivery_max
0,item_category_1_item_collected_level_min
0,user_star_level_shop_review_positive_rate_median
0,user_gender_id_item_pv_level_std
0,user_star_level_shop_score_service_max
0,user_gender_id_item_collected_level_std
0,user_star_level_shop_score_service_mean
0,user_age_level_user_id_cnt
0,user_occupation_id_shop_score_description_std
0,user_occupation_id_shop_score_description_mean
0,user_occupation_id_shop_score_delivery_min
0,user_id_item_category_1_1
0,item_category_1_item_price_level_median
0,user_gender_id_item_collected_level_min
0,user_star_level_shop_review_positive_rate_max
0,user_gender_id_item_collected_level_mean
0,user_gender_id_item_collected_level_skew
0,user_gender_id_item_collected_level_median
0,user_gender_id_item_collected_level_max
0,user_gender_id_item_sales_level_max
0,user_star_level_shop_score_service_median
0,user_star_level_shop_star_level_max
0,shop_review_num_level
0,user_id_item_id_1
0,user_star_level_shop_star_level_median
0,user_gender_id_item_sales_level_std
0,user_gender_id_item_pv_level_min
0,user_star_level_shop_review_num_level_median
0,user_gender_id_item_pv_level_skew
0,user_occupation_id_shop_score_delivery_skew
0,user_occupation_id_shop_score_description_max
0,user_gender_id_item_sales_level_median
0,user_gender_id_item_sales_level_min
0,user_gender_id_shop_star_level_std
0,user_gender_id_shop_star_level_min
0,user_gender_id_shop_star_level_mean
0,item_category_1_context_page_id_min
0,item_category_1_user_star_level_min
0,item_category_1_user_star_level_max
0,item_category_1_user_star_level_median
0,user_gender_id_shop_review_positive_rate_std
0,user_gender_id_shop_review_positive_rate_mean
0,user_gender_id_shop_review_positive_rate_min
0,user_gender_id_shop_review_positive_rate_median
0,item_category_1_item_pv_level_max
0,user_gender_id_shop_review_positive_rate_max
0,user_star_level_item_pv_level_min
0,user_gender_id_shop_review_num_level_median
0,user_gender_id_shop_review_num_level_skew
0,user_gender_id_shop_review_num_level_max
0,user_gender_id_shop_review_num_level_min
0,item_category_1_user_age_level_max
0,user_gender_id_shop_review_num_level_mean
0,user_occupation_id_shop_score_description_min
0,item_category_1_user_age_level_min
0,user_star_level_item_pv_level_max
0,user_gender_id_item_pv_level_max
0,user_gender_id_item_pv_level_median
0,item_category_1_item_sales_level_min
0,user_age_level_context_page_id_min
0,item_pv_level_shop_star_level_mean
0,user_occupation_id_user_id_cnt
0,user_gender_id_shop_score_description_median
0,shop_review_num_level_user_star_level_median
0,item_city_id_shop_review_positive_rate_max
0,shop_review_num_level_user_star_level_min
0,shop_review_num_level_user_star_level_max
0,shop_review_num_level_context_page_id_min
0,shop_review_num_level_context_page_id_max
0,shop_review_num_level_context_page_id_median
0,user_gender_id_shop_score_description_max
0,item_city_id_context_page_id_median
0,user_gender_id_shop_score_description_mean
0,item_city_id_context_page_id_min
0,user_gender_id_context_page_id_max
0,item_city_id_user_star_level_min
0,shop_review_num_level_item_category_1_cnt
0,user_gender_id_context_page_id_std
0,item_city_id_user_star_level_median
0,user_gender_id_context_page_id_skew
0,item_city_id_user_age_level_max
0,item_city_id_user_age_level_min
0,shop_star_level_user_occupation_id_cnt
0,shop_review_num_level_user_age_level_median
0,shop_review_num_level_user_age_level_max
0,shop_review_num_level_user_age_level_min
0,item_price_level_user_age_level_median
0,item_price_level_shop_review_positive_rate_max
0,item_price_level_shop_review_num_level_median
0,item_price_level_context_page_id_max
0,item_price_level_context_page_id_min
0,item_price_level_context_page_id_median
0,item_price_level_user_star_level_max
0,item_price_level_user_star_level_median
0,item_price_level_user_star_level_min
0,user_occupation_id_item_price_level_min
0,item_price_level_user_age_level_min
0,user_occupation_id_item_category_1_cnt
0,shop_review_num_level_user_occupation_id_cnt
0,item_price_level_user_age_level_max
0,item_price_level_user_occupation_id_cnt
0,shop_review_num_level_item_price_level_median
0,shop_review_num_level_item_sales_level_min
0,user_occupation_id_item_price_level_median
0,user_gender_id_shop_score_description_skew
0,item_city_id_shop_score_delivery_max
0,shop_review_num_level_item_collected_level_min
0,user_gender_id_context_page_id_mean
0,item_city_id_user_occupation_id_cnt
0,user_gender_id_context_page_id_median
0,user_occupation_id_item_city_id_cnt
0,user_age_level_shop_review_positive_rate_median
0,user_age_level_shop_review_positive_rate_std
0,shop_star_level_context_page_id_median
0,item_id_item_category_1_cnt
0,user_age_level_shop_star_level_median
0,user_age_level_shop_star_level_max
0,user_occupation_id_shop_id_cnt
0,user_age_level_shop_score_service_max
0,user_age_level_shop_score_service_min
0,user_age_level_shop_score_delivery_max
0,user_age_level_shop_review_positive_rate_max
0,user_age_level_item_property_cnt
0,user_age_level_item_category_1_cnt
0,item_id_shop_review_num_level_median
0,user_age_level_context_page_id_mean
0,item_id_context_page_id_min
0,user_age_level_context_page_id_max
0,user_age_level_context_page_id_median
0,user_age_level_shop_score_description_max
0,item_id_shop_id_cnt
0,shop_star_level_context_page_id_min
0,shop_star_level_context_page_id_max
0,shop_star_level_item_price_level_median
0,user_age_level_item_collected_level_median
0,user_gender_id_context_page_id_min
0,user_gender_id_item_category_1_cnt
0,user_gender_id_item_property_cnt
0,user_age_level_item_price_level_median
0,user_occupation_id_item_price_level_skew
0,user_age_level_item_sales_level_min
0,user_age_level_item_sales_level_max
0,shop_star_level_item_collected_level_min
0,user_age_level_item_collected_level_max
0,user_age_level_item_collected_level_min
0,user_age_level_shop_review_num_level_median
0,shop_star_level_user_age_level_median
0,shop_star_level_user_age_level_min
0,shop_star_level_user_age_level_max
0,user_age_level_item_pv_level_min
0,user_age_level_item_pv_level_max
0,shop_star_level_user_star_level_median
0,shop_star_level_user_star_level_min
0,shop_star_level_user_star_level_max
0,item_brand_id_context_page_id_min
0,item_price_level_shop_star_level_min
0,item_price_level_shop_star_level_max
0,item_price_level_shop_score_service_max
0,user_gender_id_shop_score_delivery_min
0,item_collected_level_shop_score_delivery_max
0,user_id_1
0,user_id_rate
0,user_occupation_id_shop_star_level_max
0,item_collected_level_shop_score_service_max
0,item_collected_level_shop_star_level_min
0,item_collected_level_shop_star_level_median
0,user_occupation_id_shop_star_level_median
0,item_collected_level_shop_review_positive_rate_max
0,user_occupation_id_shop_review_positive_rate_std
0,item_collected_level_shop_score_description_std
0,user_occupation_id_shop_review_positive_rate_skew
0,item_collected_level_shop_review_num_level_median
0,item_collected_level_shop_review_num_level_min
0,item_collected_level_context_page_id_max
0,user_occupation_id_shop_review_positive_rate_min
0,item_collected_level_context_page_id_median
0,item_collected_level_context_page_id_min
0,user_occupation_id_shop_review_positive_rate_median
0,user_occupation_id_shop_review_positive_rate_max
0,user_occupation_id_shop_star_level_skew
0,user_gender_id_shop_score_delivery_std
0,item_collected_level_user_star_level_max
0,item_pv_level_user_star_level_min
0,item_pv_level_shop_review_positive_rate_max
0,item_pv_level_shop_review_num_level_mean
0,item_pv_level_shop_review_num_level_median
0,user_occupation_id_shop_score_delivery_mean
0,item_pv_level_context_page_id_min
0,item_pv_level_context_page_id_mean
0,item_pv_level_context_page_id_max
0,item_pv_level_context_page_id_median
0,user_occupation_id_shop_score_service_median
0,item_pv_level_user_star_level_median
0,user_occupation_id_shop_star_level_std
0,item_pv_level_user_star_level_max
0,user_occupation_id_shop_score_service_max
0,item_pv_level_user_age_level_max
0,item_pv_level_user_age_level_median
0,item_pv_level_user_age_level_min
0,user_occupation_id_shop_score_service_min
0,item_pv_level_user_occupation_id_cnt
0,user_occupation_id_shop_score_service_mean
0,item_collected_level_shop_score_description_max
0,item_collected_level_user_star_level_min
0,user_occupation_id_shop_review_num_level_min
0,shop_id_context_page_id_min
0,item_sales_level_user_age_level_max
0,user_gender_id_shop_score_description_min
0,item_sales_level_context_page_id_median
0,item_sales_level_context_page_id_min
0,user_occupation_id_item_sales_level_max
0,item_sales_level_context_page_id_max
0,item_sales_level_user_star_level_min
0,item_sales_level_user_star_level_median
0,user_occupation_id_item_sales_level_median
0,item_sales_level_user_age_level_min
0,user_occupation_id_item_sales_level_mean
0,user_occupation_id_item_collected_level_min
0,item_sales_level_user_age_level_median
0,user_gender_id_shop_score_description_std
0,user_occupation_id_item_sales_level_min
0,item_sales_level_user_occupation_id_cnt
0,item_price_level_item_category_1_cnt
0,item_price_level_shop_score_description_max
0,item_price_level_shop_score_description_mean
0,item_price_level_shop_score_delivery_min
0,item_price_level_shop_score_delivery_max
0,item_sales_level_shop_review_num_level_median
0,user_gender_id_shop_score_delivery_median
0,user_gender_id_shop_score_delivery_mean
0,user_occupation_id_item_pv_level_median
0,item_collected_level_user_age_level_max
0,item_collected_level_user_age_level_median
0,user_occupation_id_shop_review_num_level_median
0,item_collected_level_user_age_level_min
0,item_collected_level_user_occupation_id_cnt
0,item_sales_level_item_category_1_cnt
0,user_occupation_id_shop_review_num_level_max
0,user_occupation_id_shop_review_num_level_skew
0,item_sales_level_shop_score_description_max
0,user_occupation_id_item_pv_level_max
0,item_sales_level_shop_review_positive_rate_max
0,item_sales_level_shop_score_delivery_min
0,item_sales_level_shop_score_delivery_max
0,user_occupation_id_item_pv_level_min
0,user_gender_id_shop_score_delivery_skew
0,item_sales_level_shop_score_service_max
0,item_sales_level_shop_star_level_mean
0,user_occupation_id_item_collected_level_max
0,item_sales_level_shop_star_level_median
0,user_occupation_id_item_collected_level_median
0,user_occupation_id_item_property_cnt
